Configure,Configure
Collapse,Collapse
"Continue to Paymentsense","Continue to Paymentsense"
"You will be redirected to Paymentsense to complete your payment.","You will be redirected to Paymentsense to complete your payment."
"Your payment has been successfully processed. Thank you.","Your payment has been successfully processed. Thank you."
"You have successfully cancelled your order","You have successfully cancelled your order"
"Please, check your input and try again!","Please, check your input and try again!"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Billing address is empty.","Billing address is empty."
"COLLECTION transaction failed. ","COLLECTION transaction failed. "
"REFUND transaction failed. ","REFUND transaction failed. "
"VOID transaction failed. ","VOID transaction failed. "
"Payment gateway message: ","Payment gateway message: "
"Cancel order & restore cart","Cancel order & restore cart"
"An error occurred while processing 3-D Secure authentication.","An error occurred while processing 3-D Secure authentication."
"Continue to the payment methods","Continue to the payment methods"
"Transaction type is ""%s"" not supported","Transaction type is ""%s"" not supported"
"Please ensure you are using a Paymentsense MOTO account for MOTO transactions (this will have a different merchant id to your ECOM account).","Please ensure you are using a Paymentsense MOTO account for MOTO transactions (this will have a different merchant id to your ECOM account)."
