Configure,Configure
Collapse,Collapse
"Continue to Paymentsense","Continue to Paymentsense"
"You will be redirected to Paymentsense to complete your payment.","You will be redirected to Paymentsense to complete your payment."
"Your payment has been successfully processed. Thank you.","Your payment has been successfully processed. Thank you."
"You have successfully cancelled your order","You have successfully canceled your order"
"Please, check your input and try again!","Please, check your input and try again!"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Billing address is empty.","Billing address is empty."
"COLLECTION transaction failed. ","COLLECTION transaction failed. "
"REFUND transaction failed. ","REFUND transaction failed. "
"VOID transaction failed. ","VOID transaction failed. "
"Payment gateway message: ","Payment gateway message: "
"Cancel order & restore cart","Cancel order & restore cart"
"An error occurred while processing 3-D Secure authentication.","An error occurred while processing 3-D Secure authentication."
"Continue to the payment methods","Continue to the payment methods"
"Error: Transaction type ""%s"" is not supported","Error: Transaction type ""%s"" is not supported"
"Please ensure you are using a Paymentsense MOTO account for MOTO transactions (this will have a different merchant id to your ECOM account).","Please ensure you are using a Paymentsense MOTO account for MOTO transactions (this will have a different merchant id to your ECOM account)."
"Payment Method Status:","Payment Method Status:"
"Connection to Gateway Servers:","Connection to Gateway Servers:"
"Gateway Settings:","Gateway Settings:"
"System Time:","System Time:"
"Testing...","Testing..."
"Disabled","Disabled"
"Unknown","Unknown"
"Unavailable (Payment method not configured)","Unavailable (Payment method not configured)"
"Unavailable (SSL/TLS not configured)","Unavailable (SSL/TLS not configured)"
"Enabled","Enabled"
"Successful","Successful"
"Unavailable (No Connection to the gateway. Please check outbound port 4430).","Unavailable (No Connection to the gateway. Please check outbound port 4430)."
"Gateway MerchantID is invalid. Please make sure the Gateway MerchantID matches the ABCDEF-1234567 format.","Gateway MerchantID is invalid. Please make sure the Gateway MerchantID matches the ABCDEF-1234567 format."
"Gateway MerchantID, Gateway Password, Gateway PreSharedKey and Gateway Hash Method are valid.","Gateway MerchantID, Gateway Password, Gateway PreSharedKey and Gateway Hash Method are valid."
"Gateway MerchantID is invalid.","Gateway MerchantID is invalid."
"Gateway PreSharedKey or/and Gateway Hash Method are invalid.","Gateway PreSharedKey or/and Gateway Hash Method are invalid."
"Gateway Password is invalid.","Gateway Password is invalid."
"Gateway Password, Gateway PreSharedKey or/and Gateway Hash Method are invalid.","Gateway Password, Gateway PreSharedKey or/and Gateway Hash Method are invalid."
"Gateway PreSharedKey and Gateway Hash Method cannot be validated at this time.","Gateway PreSharedKey and Gateway Hash Method cannot be validated at this time."
"Gateway MerchantID or/and Gateway Password are invalid.","Gateway MerchantID or/and Gateway Password are invalid."
"Gateway MerchantID and Gateway Password are valid.","Gateway MerchantID and Gateway Password are valid."
"The gateway settings cannot be validated at this time.","The gateway settings cannot be validated at this time."
"The system time is out of sync with the gateway with %+d seconds. Please check your system time.","The system time is out of sync with the gateway with %+d seconds. Please check your system time."
